timestamp,open,high,low,close,volume
2024-09-18,17.2500,18.0000,16.8200,18.0000,23725899
2024-08-30,12.7400,17.7500,11.3600,17.3200,79506158
2024-07-31,12.3400,14.2550,10.5201,12.7900,29068315
2024-06-28,13.7500,13.7500,12.1800,12.4300,10364161
2024-05-31,12.7000,13.8600,12.1440,13.6600,12322973
2024-04-30,13.3700,13.5350,12.0050,12.7000,15110520
2024-03-28,14.1000,14.2900,13.2000,13.3300,14273020
2024-02-29,14.4400,14.4448,13.7500,14.1100,14297306
2024-01-31,14.0700,14.8900,11.5600,14.2500,38331615
2023-12-29,4.5000,14.7100,4.4050,14.2000,100094945
2023-11-30,4.2100,5.1200,3.8850,4.4900,54792783
2023-10-31,6.3200,6.3473,3.7000,4.2100,79838737
2023-09-29,8.6300,8.7700,6.1700,6.3300,41475901
2023-08-31,11.3900,11.3900,8.5800,8.5800,25823264
2023-07-31,10.7800,12.6400,10.2900,11.5900,31012127
2023-06-30,8.0400,10.9000,7.8309,10.7700,30571292
2023-05-31,8.2500,8.6400,7.3400,8.0100,22302150
2023-04-28,9.0700,9.1550,7.6850,8.3300,20312549
2023-03-31,11.2200,11.4100,7.4400,9.1600,39644594
2023-02-28,11.4500,11.8499,9.8623,11.2000,30032426
2023-01-31,10.4300,13.4200,9.8300,12.3200,20634040
2022-12-30,13.9100,14.3000,9.6400,10.2600,20796657
2022-11-30,14.7300,15.7400,13.2600,13.9000,13259474
2022-10-31,13.2200,16.1500,12.8600,14.4300,21260551
2022-09-30,14.8100,16.3200,13.0800,13.1500,15707388
2022-08-31,14.9300,17.3900,14.5400,14.9900,12866758
2022-07-29,14.3500,16.3400,13.3050,14.9600,19114430
2022-06-30,18.0200,18.2500,12.7600,14.3100,21738593
2022-05-31,17.0200,18.1750,14.4400,17.7500,21202902
2022-04-29,19.8400,21.7100,16.3701,16.9600,21976348
2022-03-31,19.0100,19.9600,14.6200,19.7000,28385926
2022-02-28,17.3400,21.2700,16.9100,19.1800,19799617
2022-01-31,18.6000,20.7700,14.9700,17.1000,21031093
2021-12-31,18.7700,21.1492,17.0100,18.3700,20753273
2021-11-30,19.3500,24.2700,17.2000,18.2800,20491935
2021-10-29,22.3600,23.5700,18.5001,19.3500,29982957
2021-09-30,20.1800,23.2500,18.9750,21.6600,19119193
2021-08-31,19.9300,20.8800,17.5500,20.2200,20328908
2021-07-30,24.7100,25.0999,17.9400,19.7300,27099971
2021-06-30,26.1800,31.3800,24.2700,24.3700,32818236
