timestamp,open,high,low,close,volume
2025-10-22,49.6000,52.3000,46.7000,47.6800,47534462
2025-09-30,61.9100,65.8800,49.1100,49.7800,64493609
2025-08-29,51.7500,63.3900,50.0100,62.7800,44659555
2025-07-31,49.5400,56.2200,48.8100,52.9600,64084762
2025-06-30,50.7700,53.0000,45.4800,49.4800,54022233
2025-05-30,44.5000,55.5900,44.2100,50.9300,65559679
2025-04-30,48.5800,51.2300,39.7900,44.2700,85806960
2025-03-31,72.8400,73.8900,47.3700,49.2200,93760307
2025-02-28,71.0600,78.0800,69.3600,72.2800,47871102
2025-01-31,64.8000,74.7000,62.8200,73.2500,58227991
2024-12-31,52.5400,67.7300,51.8150,64.7500,69734815
2024-11-29,48.6400,54.1399,47.2300,52.6000,38218930
2024-10-31,45.0600,50.1600,41.7200,47.9100,51513894
2024-09-30,35.8500,45.5700,35.7600,45.2100,56805277
2024-08-30,37.7400,38.0000,32.6210,36.1100,48541199
2024-07-31,40.5700,40.6500,35.3100,37.5300,51847758
2024-06-28,42.5800,42.8600,39.2100,40.4000,31565128
2024-05-31,42.9900,44.7400,39.2000,42.0200,33470846
2024-04-30,43.4000,46.1500,40.0650,43.0200,55378960
2024-03-28,37.3700,43.2650,36.0000,42.9900,45661871
2024-02-29,36.1100,40.4899,35.1000,37.3900,40446816
2024-01-31,38.6900,39.2000,33.2400,35.8300,63854553
2023-12-29,37.9300,41.2200,32.0000,39.0700,127666722
2023-11-30,31.6200,37.9800,30.7500,37.8100,44470552
2023-10-31,37.0400,37.3350,31.0300,31.6300,58278327
2023-09-29,42.2600,42.4300,36.1500,37.0800,38489611
2023-08-31,48.0000,48.2299,41.5500,41.9700,33907779
2023-07-31,53.0700,57.1790,46.4500,48.6300,43653688
2023-06-30,45.0900,53.4000,44.3600,53.1800,29628973
2023-05-31,43.3300,45.9900,41.6900,44.9300,30042020
2023-04-28,42.2600,44.8700,41.2450,43.4600,38249019
2023-03-31,47.7300,49.7500,37.1950,41.9600,42850641
2023-02-28,50.9500,53.9614,46.2700,47.8300,21463794
2023-01-31,43.5200,51.8100,41.7700,51.3400,30931856
2022-12-30,47.5800,47.9900,41.2900,42.9400,29201651
2022-11-30,45.0500,47.6700,42.3400,47.4400,24735231
2022-10-31,39.3500,44.7800,38.7200,44.4600,34900618
2022-09-30,43.1800,47.4100,38.4400,39.1500,33718614
2022-08-31,44.1800,48.7600,43.5100,43.5600,27569398
2022-07-29,40.2500,44.5100,39.6700,44.3300,33096894
2022-06-30,48.6800,49.7800,38.1850,40.0500,39478667
2022-05-31,54.1300,54.4500,43.3900,48.2600,38508136
2022-04-29,58.3600,61.5500,51.9100,54.3900,41832640
2022-03-31,55.3500,59.5400,43.4600,58.0100,56163791
2022-02-28,55.0100,61.0650,51.6200,56.1400,38269672
2022-01-31,52.8600,57.6000,48.7300,54.7400,40681160
2021-12-31,49.9600,53.4000,46.2600,52.1000,42859955
2021-11-30,53.0200,60.1167,47.3800,48.5700,38646044
2021-10-29,60.5300,63.7600,52.2000,52.8000,38011837
2021-09-30,57.7800,62.8500,55.4300,58.6000,36254866
2021-08-31,58.2100,59.7300,52.8800,57.3400,36425879
2021-07-30,60.8600,61.7500,51.7500,58.0300,43487932
2021-06-30,69.9300,70.9000,59.8300,60.3100,42553125
2021-05-28,69.4600,72.9200,63.6400,69.2000,25150016
2021-04-30,69.6700,74.2500,64.8100,69.1400,31735587
2021-03-31,67.0800,73.7490,59.6893,69.2100,41544214
2021-02-26,49.3550,68.9890,48.2500,65.0200,36817526
2021-01-29,52.1700,56.1800,48.0900,48.8300,37505318
2020-12-31,51.7700,54.9600,48.2700,52.0000,38715118
2020-11-30,38.2200,53.4200,36.8201,50.9700,47664248
2020-10-30,37.0900,41.7300,35.0600,37.8900,50170103
2020-09-30,38.1000,43.9434,34.8300,36.6300,50026735
2020-08-31,34.0900,41.0500,33.2200,38.9500,50322857
2020-07-31,37.1800,38.9400,33.6200,34.4400,48574853
2020-06-30,34.3800,50.8100,33.0000,36.2600,111832136
2020-05-29,31.4100,39.4700,23.3900,34.1900,68446512
2020-04-30,26.9200,34.7200,23.5800,32.5200,64731867
2020-03-31,50.8500,51.3000,20.0200,28.4700,87566365
2020-02-28,65.1300,66.9600,49.4500,50.4600,27359409
2020-01-31,68.1500,68.7900,64.1700,64.5900,28832782
2019-12-31,69.1700,70.4100,66.2900,67.7500,20957162
2019-11-29,69.8900,72.2200,67.9400,69.0100,11603129
2019-10-31,65.4500,72.0000,61.1500,69.4300,22266028
